114	Vera	1	396	False	1	INSERT INTO Apellidos Values (114,'Vera',1,396,False,1)	";"
115	Rey	1	395	False	1	INSERT INTO Apellidos Values (115,'Rey',1,395,False,1)	";"
116	Galán	1	393	False	1	INSERT INTO Apellidos Values (116,'Galán',1,393,False,1)	";"
117	Luque	1	393	False	1	INSERT INTO Apellidos Values (117,'Luque',1,393,False,1)	";"
118	Otero	1	389	False	1	INSERT INTO Apellidos Values (118,'Otero',1,389,False,1)	";"
119	Montes	1	389	False	1	INSERT INTO Apellidos Values (119,'Montes',1,389,False,1)	";"
120	Ríos	1	389	False	1	INSERT INTO Apellidos Values (120,'Ríos',1,389,False,1)	";"
121	Sierra	1	388	False	1	INSERT INTO Apellidos Values (121,'Sierra',1,388,False,1)	";"
122	Segura	1	386	False	1	INSERT INTO Apellidos Values (122,'Segura',1,386,False,1)	";"
123	Carrillo	1	381	False	1	INSERT INTO Apellidos Values (123,'Carrillo',1,381,False,1)	";"
124	Marcos	1	375	False	1	INSERT INTO Apellidos Values (124,'Marcos',1,375,False,1)	";"
125	Mendoza	1	369	False	1	INSERT INTO Apellidos Values (125,'Mendoza',1,369,False,1)	";"
126	Soriano	1	368	False	1	INSERT INTO Apellidos Values (126,'Soriano',1,368,False,1)	";"
127	Martí	1	368	False	1	INSERT INTO Apellidos Values (127,'Martí',1,368,False,1)	";"
128	Bernal	1	364	False	1	INSERT INTO Apellidos Values (128,'Bernal',1,364,False,1)	";"
129	Robles	1	362	False	1	INSERT INTO Apellidos Values (129,'Robles',1,362,False,1)	";"
130	Vila	1	357	False	1	INSERT INTO Apellidos Values (130,'Vila',1,357,False,1)	";"
131	Valero	1	356	False	1	INSERT INTO Apellidos Values (131,'Valero',1,356,False,1)	";"
132	Heredia	1	354	False	1	INSERT INTO Apellidos Values (132,'Heredia',1,354,False,1)	";"
133	Exposito	1	350	False	1	INSERT INTO Apellidos Values (133,'Exposito',1,350,False,1)	";"
134	Palacios	1	349	False	1	INSERT INTO Apellidos Values (134,'Palacios',1,349,False,1)	";"
135	Macías	1	347	False	1	INSERT INTO Apellidos Values (135,'Macías',1,347,False,1)	";"
136	Benito	1	345	False	1	INSERT INTO Apellidos Values (136,'Benito',1,345,False,1)	";"
137	Varela	1	344	False	1	INSERT INTO Apellidos Values (137,'Varela',1,344,False,1)	";"
138	Guerra	1	343	False	1	INSERT INTO Apellidos Values (138,'Guerra',1,343,False,1)	";"
139	Andrés	1	341	False	1	INSERT INTO Apellidos Values (139,'Andrés',1,341,False,1)	";"
140	Roldán	1	338	False	1	INSERT INTO Apellidos Values (140,'Roldán',1,338,False,1)	";"
141	Bueno	1	337	False	1	INSERT INTO Apellidos Values (141,'Bueno',1,337,False,1)	";"
142	Mateo	1	337	False	1	INSERT INTO Apellidos Values (142,'Mateo',1,337,False,1)	";"
143	Contreras	1	334	False	1	INSERT INTO Apellidos Values (143,'Contreras',1,334,False,1)	";"
144	Villar	1	330	False	1	INSERT INTO Apellidos Values (144,'Villar',1,330,False,1)	";"
145	Pereira	1	326	False	1	INSERT INTO Apellidos Values (145,'Pereira',1,326,False,1)	";"
146	Miranda	1	325	False	1	INSERT INTO Apellidos Values (146,'Miranda',1,325,False,1)	";"
147	Guillén	1	325	False	1	INSERT INTO Apellidos Values (147,'Guillén',1,325,False,1)	";"
148	Mateos	1	322	False	1	INSERT INTO Apellidos Values (148,'Mateos',1,322,False,1)	";"
149	Escudero	1	321	False	1	INSERT INTO Apellidos Values (149,'Escudero',1,321,False,1)	";"
150	Aguilera	1	317	False	1	INSERT INTO Apellidos Values (150,'Aguilera',1,317,False,1)	";"
151	Casas	1	313	False	1	INSERT INTO Apellidos Values (151,'Casas',1,313,False,1)	";"
152	Aparicio	1	310	False	1	INSERT INTO Apellidos Values (152,'Aparicio',1,310,False,1)	";"
153	Menéndez	1	307	False	1	INSERT INTO Apellidos Values (153,'Menéndez',1,307,False,1)	";"
154	Rivero	1	307	False	1	INSERT INTO Apellidos Values (154,'Rivero',1,307,False,1)	";"
155	Estévez	1	304	False	1	INSERT INTO Apellidos Values (155,'Estévez',1,304,False,1)	";"
156	Padilla	1	303	False	1	INSERT INTO Apellidos Values (156,'Padilla',1,303,False,1)	";"
157	Beltrán	1	302	False	1	INSERT INTO Apellidos Values (157,'Beltrán',1,302,False,1)	";"
158	Gálvez	1	301	False	1	INSERT INTO Apellidos Values (158,'Gálvez',1,301,False,1)	";"
159	Calderón	1	301	False	1	INSERT INTO Apellidos Values (159,'Calderón',1,301,False,1)	";"
160	Rico	1	300	False	1	INSERT INTO Apellidos Values (160,'Rico',1,300,False,1)	";"
161	Gracia	1	297	False	1	INSERT INTO Apellidos Values (161,'Gracia',1,297,False,1)	";"
162	Jurado	1	297	False	1	INSERT INTO Apellidos Values (162,'Jurado',1,297,False,1)	";"
163	Conde	1	296	False	1	INSERT INTO Apellidos Values (163,'Conde',1,296,False,1)	";"
164	Abad	1	296	False	1	INSERT INTO Apellidos Values (164,'Abad',1,296,False,1)	";"
165	Salas	1	295	False	1	INSERT INTO Apellidos Values (165,'Salas',1,295,False,1)	";"
166	Acosta	1	292	False	1	INSERT INTO Apellidos Values (166,'Acosta',1,292,False,1)	";"
167	Aranda	1	292	False	1	INSERT INTO Apellidos Values (167,'Aranda',1,292,False,1)	";"
168	Quintana	1	292	False	1	INSERT INTO Apellidos Values (168,'Quintana',1,292,False,1)	";"
169	Plaza	1	292	False	1	INSERT INTO Apellidos Values (169,'Plaza',1,292,False,1)	";"
170	Bermúdez	1	291	False	1	INSERT INTO Apellidos Values (170,'Bermúdez',1,291,False,1)	";"
171	Blázquez	1	288	False	1	INSERT INTO Apellidos Values (171,'Blázquez',1,288,False,1)	";"
172	Salazar	1	287	False	1	INSERT INTO Apellidos Values (172,'Salazar',1,287,False,1)	";"
173	Guzmán	1	285	False	1	INSERT INTO Apellidos Values (173,'Guzmán',1,285,False,1)	";"
174	Roca	1	284	False	1	INSERT INTO Apellidos Values (174,'Roca',1,284,False,1)	";"
175	Santamaría	1	283	False	1	INSERT INTO Apellidos Values (175,'Santamaría',1,283,False,1)	";"
176	Manzano	1	280	False	1	INSERT INTO Apellidos Values (176,'Manzano',1,280,False,1)	";"
177	Miguel	1	279	False	1	INSERT INTO Apellidos Values (177,'Miguel',1,279,False,1)	";"
178	Costa	1	279	False	1	INSERT INTO Apellidos Values (178,'Costa',1,279,False,1)	";"
179	Villanueva	1	278	False	1	INSERT INTO Apellidos Values (179,'Villanueva',1,278,False,1)	";"
180	Serra	1	278	False	1	INSERT INTO Apellidos Values (180,'Serra',1,278,False,1)	";"
181	Cuesta	1	276	False	1	INSERT INTO Apellidos Values (181,'Cuesta',1,276,False,1)	";"
182	Trujillo	1	275	False	1	INSERT INTO Apellidos Values (182,'Trujillo',1,275,False,1)	";"
183	Hurtado	1	275	False	1	INSERT INTO Apellidos Values (183,'Hurtado',1,275,False,1)	";"
184	Rueda	1	274	False	1	INSERT INTO Apellidos Values (184,'Rueda',1,274,False,1)	";"
185	Ávila	1	274	False	1	INSERT INTO Apellidos Values (185,'Ávila',1,274,False,1)	";"
186	Tomás	1	274	False	1	INSERT INTO Apellidos Values (186,'Tomás',1,274,False,1)	";"
187	Pacheco	1	270	False	1	INSERT INTO Apellidos Values (187,'Pacheco',1,270,False,1)	";"
188	De La Fuente	1	267	True	1	INSERT INTO Apellidos Values (188,'De La Fuente',1,267,True,1)	";"
189	Simón	1	267	False	1	INSERT INTO Apellidos Values (189,'Simón',1,267,False,1)	";"
